Kecamatan,Kelurahan,Konfirmasi_Positif,Konfirmasi_Meninggal,Konfirmasi_Isolasi_Mandiri
Cengkareng,Cengkareng Barat,8676,120,104
Cengkareng,Cengkareng Timur,8926,119,89
Cengkareng,Duri Kosambi,7437,88,81
Cengkareng,Kapuk,9480,189,62
Cengkareng,Kedaung Kali Angke,3146,39,32
Cengkareng,Rawa Buaya,5648,71,72
Grogol Petamburan,Grogol,3704,44,53
Grogol Petamburan,Jelambar,5557,63,89
Grogol Petamburan,Jelambar Baru,5377,50,84
Grogol Petamburan,Tanjung Duren Selatan,5138,50,123
Grogol Petamburan,Tanjung Duren Utara,3869,38,74
Grogol Petamburan,Tomang,4304,39,93
Grogol Petamburan,Wijaya Kusuma,4642,56,72
Kali Deres,Kalideres,7467,99,86
Kali Deres,Kamal,2538,41,28
Kali Deres,Pegadungan,8462,65,169
Kali Deres,Semanan,3939,56,57
Kali Deres,Tegal Alur,6774,85,66
Kebon Jeruk,Duri Kepa,8347,87,173
Kebon Jeruk,Kebon Jeruk,8410,94,136
Kebon Jeruk,Kedoya Selatan,4402,59,87
Kebon Jeruk,Kedoya Utara,5618,61,76
Kebon Jeruk,Kelapa Dua,3483,44,62
Kebon Jeruk,Sukabumi Selatan,3377,37,55
Kebon Jeruk,Sukabumi Utara,4362,51,53
Palmerah,Jati Pulo,2603,51,34
Palmerah,Kemanggisan,5113,65,85
Palmerah,Kota Bambu Selatan,2378,40,13
Palmerah,Kota Bambu Utara,2252,39,13
Palmerah,Palmerah,8175,139,91
Palmerah,Slipi,3107,33,24
